town,flat_type,block,street_name,flat_model
,,283,TAMPINES CTRL 8,
,,297,YISHUN ST 51,
,,848,UPP SERANGOON VIEW,
,,831,TAMPINES AVE 1,
,,281,BEDOK RESERVOIR CRES,
,,273,ANG MO KIO ST 61,
,,916,DAWSON RD,
,,902,FERNVALE ST,
,,921,HOUGANG ST 32,
,,934,TAMPINES ST 86,
,,268,SUMANG WALK,
,,805,CHOA CHU KANG AVE 7,
,,833,KEAT HONG CL,
,,804,JURONG WEST CTRL 3,
,,903,KEAT HONG LINK,
,,932,ALJUNIED AVE 2,
,,151,CANBERRA CRES,
,,147,SUMANG LANE,
,,85C,CANBERRA ST,
,,174,ANG MO KIO ST 44,
,,195,WOODLANDS RISE,
,,222,CANBERRA WALK,
,,741,ANG MO KIO ST 51,
,,756,BT BATOK EAST AVE 6,
,,390,BT BATOK WEST AVE 9,
,,737,TAMPINES ST 61,
,,726,YISHUN ST 43,
,,358,,
,,421,,
,,445,,
,,587,,
,,464,,
,,557,,
,,549,,
,,624,,
,,631,,
,,572,,
,,563,,
,,552,,
,,522,,
,,614,,
,,715,,
,,714,,
,,144,,
,,335A,,
,,661,,
,,269B,,
,,634,,
,,730,,
,,338,,
,,349,,
,,351,,
,,353,,
,,246,,
,,521,,
,,488,,
,,478,,
,,555,,
,,556,,
,,27A,,
,,23A,,
,,907,,
,,282,,
,,292,,
,,935,,
,,263,,
,,933,,
,,926,,
,,922,,
,,191,,
,,732,,
,,158,,
,,727,,
,,721,,
,,284,,
,,759,,
,,858,,
,,576,,
,,578,,
,,541,,
,,623,,
,,332,,
,,423,,
,,176,,
,,181,,
,,668,,
,,364,,
,,374,,
,,350,,
,,373,,
,,381,,
,,355,,
,,219A,,
,,531,,
,,483,,
,,553,,
,,909,,
,,930,,
,,915,,
,,911,,
,,931,,
,,815,,
,,194,,
,,2A,,
,,754,,
,,749,,
,,618,,
,,92,,
,,628,,
,,472,,
,,39A,,
,,23B,,
,,806,,
,,837,,
,,290,,
,,296,,
,,857,,
,,735,,
,,746,,
,,649,,
,,635,,
,,636,,
,,367,,
,,360,,
,,376,,
,,854,,
,,288,,
,,747,,
,,738,,
,,768,,
,,757,,
,,467,,
,,562,,
,,617,,
,,627,,
,,361,,
,,368,,
,,370,,
,,479,,
,,168A,,
,,852,,
,,745,,
,,771,,
,,766,,
,,773,,
,,755,,
,,758,,
,,577,,
,,619,,
,,720,,
,,377,,
,,356,,
,,842,,
,,453,,
,,803,,
,,937,,
,,762,,
,,739,,
,,774,,
,,760,,
,,366,,
,,269A,,
,,375,,
,,844,,
,,48A,,
,,734,,
,,778,,
,,197,,
,,369,,
,,322A,,
,,929,,
,,830,,
,,856,,
,,764,,
,,744,,
,,684,,
,,908,,
,,765,,
,,686,,
,,683,,
,,840,,
,,783,,
,,784,,
,,750,,
,,770,,
,,495,,
,,835,,
,,685,,
,,682,,
,,853,,
,,753,,
,,781,,
,,775,,
,,657,,
,,776,,
,,498,,
,,824,,
,,847,,
,,378,,
,,645,,
,,221A,,
,,681,,
,,841,,
,,782,,
,,388,,
,,269C,,
,,674,,
,,675,,
,,845,,
,,851,,
,,785,,
,,372,,
,,673,,
,,482,,
,,836,,
,,788,,
,,189,,
,,829,,
,,843,,
,,800,,
,,629,,
,,630,,
,,676,,
,,201D,,
,,761,,
,,655,,
,,794,,
,,790,,
,,689,,
,,492,,
,,748,,
,,795,,
,,796,,
,,799,,
,,196,,
,,696,,
,,849,,
,,798,,
,,791,,
,,494,,
,,897,,
,,855,,
,,802,,
,,779,,
,,190,,
,,688,,
,,658,,
,,660,,
,,687,,
,,697,,
,,827,,
,,777,,
,,743,,
,,651,,
,,647,,
,,695,,
,,698,,
,,693,,
,,694,,
,,665,,
,,828,,
,,906,,
,,653,,
,,867,,
,,667,,
,,680,,
,,763,,
,,780,,
,,671,,
,,690,,
,,883,,
,,792,,
,,192,,
,,669,,
,,977,,
,,201E,,
,,944,,
,,691,,
,,917,,
,,825,,
,,895,,
,,672,,
,,650,,
,,884,,
,,821,,
,,881,,
,,885,,
,,882,,
,,393,,
,,394,,
,,666A,,
,,656,,
,,399,,
,,386,,
,,391,,
,,666,,
,,652,,
,,215A,,
,,862,,
,,862A,,
,,864A,,
,,858A,,
,,863,,
,,860,,
,,659,,
,,868,,
,,857B,,
,,859,,
,,859A,,
,,860A,,
,,858B,,
,,861,,
,,397,,
,,786,,
,,787,,
,,826,,
,,877,,
,,834,,
,,876,,
,,864,,
,,678,,
,,898,,
,,878,,
,,857A,,
,,489A,,
,,767,,
,,872,,
,,880,,
,,874,,
,,380,,
,,677,,
,,860B,,
,,870,,
,,871,,
,,865,,
,,866,,
,,879,,
,,797,,
,,875,,
,,389,,
,,850,,
,,920,,
,,387,,
,,392,,
,,904,,
,,949,,
,,867A,,
,,395,,
,,396,,
,,822,,
,,863B,,
,,487A,,
,,886,,
,,873,,
,,670,,
,,899,,
,,898A,,
,,355A,,
,,692,,
,,978,,
,,897A,,
,,887,,
,,863A,,
,,133A,,
,,939,,
,,905,,
,,927,,
,,861A,,
,,894,,
,,350A,,
,,679,,
,,936,,
,,919,,
,,894A,,
,,899A,,
,,896,,
,,886A,,
,,188,,
,,923,,
,,201A,,
,,888,,
,,494C,,
,,895A,,
,,896A,,
,,938,,
,,654,,
,,943,,
,,940,,
,,942,,
,,398,,
,,769,,
,,966,,
,,945,,
,,889,,
,,941,,
,,795A,,
,,947,,
,,889A,,
,,871A,,
,,887A,,
,,946,,
,,874A,,
,,918,,
,,888A,,
,,869,,
,,976,,
,,979,,
,,567,,
,,485B,,
,,10F,,
,,150A,,
,,948,,
,,230C,,
,,230J,,
,,43A,,
,,953,,
,,488A,,
,,491B,,
,,492C,,
,,486B,,
,,495E,,
,,789,,
,,980,,
,,823,,
,,974,,
,,489C,,
,,496B,,
,,217A,,
,,965,,
,,975,,
,,880A,,
,,488B,,
,,495F,,
,,952,,
,,506B,,
,,496E,,
,,491F,,
,,94B,,
,,961,,
,,830A,,
,,842D,,
,,487B,,
,,491H,,
,,500,,
,,487C,,
,,494B,,
,,495A,,
,,950,,
,,495C,,
,,796A,,
,,640A,,
,,42A,,
,,382,,
,,664A,,
,,842E,,
,,94D,,
,,856B,,
,,568,,
,,485A,,
,,385,,
,,856E,,
,,506A,,
,,230E,,
,,663A,,
,,793,,
,,491C,,
,,645A,,
,,486C,,
,,497D,,
,,893D,,
,,636A,,
,,94C,,
,,497F,,
,,497J,,
,,633A,,
,,223A,,
,,637A,,
,,566,,
,,535A,,
,,496C,,
,,496D,,
,,10E,,
,,491A,,
,,496F,,
,,99C,,
,,569,,
,,496G,,
,,491D,,
,,493B,,
,,99B,,
,,101B,,
,,493D,,
,,493A,,
,,493C,,
,,495B,,
,,99A,,
,,94E,,
,,493E,,
,,491E,,
,,491G,,
,,492B,,
,,492D,,
,,101A,,
,,490A,,
,,384,,
,,230D,,
,,230F,,
,,230G,,
,,495D,,
,,230B,,
,,489B,,
,,383,,
,,230H,,
,,490B,,
,,486A,,
,,842B,,
,,842C,,
,,856C,,
,,828A,,
,,580,,
,,842F,,
,,842H,,
,,856D,,
,,172A,,
,,579,,
,,856F,,
,,700,,
,,842G,,
,,581,,
,,583,,
,,253A,,
,,10B,,
,,10C,,
,,10D,,
,,582,,
,,574,,
,,104A,,
,,497B,,
,,497A,,
,,7A,,
,,497C,,
,,497G,,
,,497H,,
,,80A,,
,,104B,,
,,450E,,
,,450C,,
,,82A,,
,,80B,,
,,450F,,
,,82B,,
,,124A,,
,,450D,,
,,894D,,
,,891A,,
,,450A,,
,,498E,,
,,498H,,
,,498J,,
,,498D,,
,,84B,,
,,81A,,
,,81B,,
,,894C,,
,,891B,,
,,124B,,
,,4C,,
,,450G,,
,,498B,,
,,498F,,
,,894B,,
,,892A,,
,,892B,,
,,498A,,
,,498G,,
,,498L,,
,,84A,,
,,4B,,
,,498M,,
,,893B,,
,,893C,,
,,893A,,
,,29A,,
,,367A,,
,,892,,
,,896C,,
,,896B,,
,,895C,,
,,897B,,
,,897C,,
,,299,,
,,899B,,
,,891,,
,,895B,,
,,898B,,
,,899C,,
,,30A,,
,,92A,,
,,893,,
,,290F,,
,,290B,,
,,290G,,
,,291A,,
,,290C,,
,,787B,,
,,786B,,
,,787E,,
,,786C,,
,,290D,,
,,291D,,
,,291B,,
,,290E,,
,,787D,,
,,786F,,
,,291E,,
,,290A,,
,,288D,,
,,288B,,
,,787C,,
,,786D,,
,,786E,,
,,613A,,
,,291C,,
,,289A,,
,,613B,,
,,289B,,
,,288A,,
,,484A,,
,,288G,,
,,287D,,
,,14B,,
,,288C,,
,,286A,,
,,285B,,
,,287C,,
,,286D,,
,,287A,,
,,286B,,
,,287B,,
,,286C,,
,,289D,,
,,285A,,
,,285D,,
,,59A,,
,,59B,,
,,3A,,
,,14A,,
,,289F,,
,,285C,,
,,59C,,
,,628B,,
,,289C,,
,,232A,,
,,628A,,
,,300,,
,,684C,,
,,288E,,
,,962,,
,,236A,,
,,625B,,
,,788E,,
,,484C,,
,,517C,,
,,502A,,
